date,name,payment,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
2017.1.1,SAMSUNG,10000,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2017.1.2,SAMSUNG,20000,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2017.1.3,SAMSUNG,30000,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2017.1.4,SAMSUNG,40000,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2017.1.5,SAMSUNG,50000,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2017.1.6,SAMSUNG,60000,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2017.1.7,SAMSUNG,70000,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2017.1.8,SAMSUNG,80000,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017.1.9,SAMSUNG,90000,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2017.1.10,SAMSUNG,100000,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2017.1.11,SAMSUNG,110000,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2017.1.12,SAMSUNG,120000,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2017.1.13,SAMSUNG,130000,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2017.1.14,SAMSUNG,140000,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2017.1.15,SAMSUNG,150000,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2017.1.16,SAMSUNG,160000,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2017.1.17,SAMSUNG,170000,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2017.1.18,SAMSUNG,180000,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
2017.1.19,SAMSUNG,190000,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2017.1.20,SAMSUNG,200000,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
